hold_id,status,library_id,user_id,book_id,hold_date,expiration_date
1,Expired,25,156,5946,2025-04-06 19:30:47.492622,2025-04-13 19:30:47.492622
2,Expired,4,234,6282,2024-08-16 19:11:47.655095,2024-08-23 19:11:47.655095
3,Expired,1,380,4428,2024-12-25 12:55:58.143771,2025-01-01 12:55:58.143771
4,Expired,16,328,5225,2024-12-24 01:37:06.814279,2024-12-31 01:37:06.814279
5,Expired,27,295,4577,2025-06-17 23:13:50.567868,2025-06-24 23:13:50.567868
6,Expired,1,84,4330,2024-09-15 09:06:44.120911,2024-09-22 09:06:44.120911
7,Expired,8,320,7268,2024-12-17 07:15:22.042021,2024-12-24 07:15:22.042021
8,Expired,26,354,6560,2025-05-04 21:42:07.309312,2025-05-11 21:42:07.309312
9,Fulfilled,30,88,505,2024-11-14 05:37:11.639642,2024-11-21 05:37:11.639642
10,Cancelled,11,163,5487,2024-07-17 10:24:11.252127,2024-07-24 10:24:11.252127
11,Cancelled,2,219,3903,2024-10-10 09:26:58.378649,2024-10-17 09:26:58.378649
12,Expired,4,444,2912,2025-01-21 08:07:20.951676,2025-01-28 08:07:20.951676
13,Expired,5,91,1877,2024-12-07 12:29:34.791566,2024-12-14 12:29:34.791566
14,Expired,19,72,6014,2025-05-11 21:55:07.766712,2025-05-18 21:55:07.766712
15,Expired,8,236,4571,2025-01-23 04:32:59.903075,2025-01-30 04:32:59.903075
16,Fulfilled,30,154,3475,2025-06-17 20:57:46.373040,2025-06-24 20:57:46.373040
17,Expired,24,349,4958,2024-10-05 01:59:59.925852,2024-10-12 01:59:59.925852
18,Expired,14,398,7742,2025-04-25 06:18:34.669411,2025-05-02 06:18:34.669411
19,Cancelled,19,53,5429,2024-10-20 22:02:12.170848,2024-10-27 22:02:12.170848
20,Cancelled,12,102,6665,2025-05-07 08:41:21.758740,2025-05-14 08:41:21.758740
21,Expired,23,148,5110,2024-07-15 03:07:54.706138,2024-07-22 03:07:54.706138
22,Cancelled,10,377,2182,2024-12-08 23:24:50.703216,2024-12-15 23:24:50.703216
23,Expired,26,464,552,2025-02-26 12:37:15.238750,2025-03-05 12:37:15.238750
24,Expired,22,282,237,2025-03-01 14:00:34.201721,2025-03-08 14:00:34.201721
25,Expired,17,310,3064,2025-01-12 17:15:23.725362,2025-01-19 17:15:23.725362
26,Expired,28,208,6153,2025-06-02 02:00:05.131743,2025-06-09 02:00:05.131743
27,Fulfilled,14,245,33,2024-12-25 13:47:30.481747,2025-01-01 13:47:30.481747
28,Fulfilled,20,130,1796,2024-07-29 20:03:58.131398,2024-08-05 20:03:58.131398
29,Cancelled,15,490,3564,2025-04-26 22:51:13.118120,2025-05-03 22:51:13.118120
30,Cancelled,27,283,7426,2025-02-09 10:28:21.555015,2025-02-16 10:28:21.555015
31,Fulfilled,6,293,3255,2025-01-20 11:31:33.884596,2025-01-27 11:31:33.884596
32,Fulfilled,18,87,1261,2025-05-28 21:39:02.758274,2025-06-04 21:39:02.758274
33,Fulfilled,14,464,105,2025-01-22 00:00:40.444907,2025-01-29 00:00:40.444907
34,Expired,22,312,6677,2025-02-26 08:33:24.394222,2025-03-05 08:33:24.394222
35,Fulfilled,13,316,6165,2025-01-22 23:35:46.646369,2025-01-29 23:35:46.646369
36,Active,25,449,4167,2025-06-22 01:03:26.644501,2025-06-29 01:03:26.644501
37,Fulfilled,7,360,348,2024-08-25 06:50:20.318242,2024-09-01 06:50:20.318242
38,Expired,10,26,3448,2025-02-04 16:43:37.766725,2025-02-11 16:43:37.766725
39,Expired,8,308,1377,2024-07-17 11:04:46.461025,2024-07-24 11:04:46.461025
40,Expired,19,171,6899,2025-02-01 03:48:22.693738,2025-02-08 03:48:22.693738
41,Expired,2,46,2548,2024-07-10 00:12:30.091122,2024-07-17 00:12:30.091122
42,Expired,24,265,2649,2024-08-03 20:52:25.457538,2024-08-10 20:52:25.457538
43,Fulfilled,18,280,3928,2024-07-29 16:13:29.454273,2024-08-05 16:13:29.454273
44,Expired,8,302,4462,2024-07-17 11:53:35.048584,2024-07-24 11:53:35.048584
45,Fulfilled,3,132,2047,2025-04-21 04:10:42.005120,2025-04-28 04:10:42.005120
46,Expired,22,223,4080,2024-09-22 02:10:24.439971,2024-09-29 02:10:24.439971
47,Expired,2,195,2629,2025-05-27 23:52:50.693330,2025-06-03 23:52:50.693330
48,Expired,27,306,6905,2025-05-24 21:40:59.174632,2025-05-31 21:40:59.174632
