library_id,book_id,quantity
30,3580,7
19,2594,10
2,2867,7
4,6507,2
7,366,2
12,3337,4
7,5586,8
19,2781,9
16,7106,6
29,1011,8
8,6656,6
2,4612,4
17,6566,9
13,7830,3
5,2027,2
30,693,2
13,5541,7
22,866,3
30,3132,7
28,4965,8
6,352,5
23,5699,7
12,4438,10
16,4448,7
17,4077,5
10,7700,3
6,2715,2
20,5998,4
27,1970,8
4,6280,7
23,7191,9
12,3,5
18,7693,3
5,7016,4
22,6273,9
29,6645,1
14,3739,2
7,3075,7
1,4520,4
30,173,4
15,794,8
5,4385,6
28,157,8
28,5549,4
10,3968,7
16,2315,8
26,4943,3
5,828,7
27,7556,8
9,899,6
2,3302,3
13,5110,9
16,5142,6
26,856,6
24,2494,5
25,4712,9
30,2308,2
18,7498,5
7,2294,8
25,7841,9
25,863,7
4,3042,2
17,4564,2
10,2270,10
25,3214,2
3,2572,5
8,1592,6
17,3381,10
29,5308,6
18,5069,5
7,1115,10
29,2952,7
22,3619,5
25,5365,9
27,6000,4
12,7559,1
18,5408,1
20,5299,9
4,6907,6
3,1694,10
5,291,10
14,4825,6
9,3464,8
18,5762,7
27,5588,2
8,6772,5
18,30,10
9,2449,6
25,107,6
18,1199,5
30,3760,9
22,47,5
15,568,9
18,5742,5
1,6039,10
14,4279,6
14,5019,6
25,6866,4
25,6341,3
4,6187,1
15,1504,4
10,3565,10
1,7612,6
20,7809,5
22,7396,1
9,676,1
1,1294,1
8,4888,10
15,2363,3
30,1221,7
12,3366,2
12,5391,8
5,5462,7
12,1045,2
1,2540,5
17,3742,8
24,3382,2
16,439,1
24,236,4
14,2103,9
27,6701,1
17,282,9
1,5013,10
4,4950,5
5,1087,8
5,144,2
10,235,10
30,7492,3
26,5373,9
28,2007,5
21,3961,8
1,2715,6
5,4399,10
6,6878,5
3,2252,3
26,6197,6
6,4942,2
6,308,5
17,4558,10
23,5830,4
3,1671,3
10,4392,9
8,5505,10
1,7025,3
30,7552,10
26,192,1
28,5926,8
28,1664,3
1,5473,9
6,5897,3
23,1828,2
17,1378,5
22,4653,3
14,1852,1
3,6118,10
26,6632,6
12,7704,4
10,1563,9
10,3354,3
28,694,7
15,712,10
18,5234,10
13,6418,1
29,628,1
29,7452,2
20,2094,8
4,862,9
26,6200,7
8,1149,7
26,3567,4
9,494,7
30,4345,4
26,7067,7
19,3474,5
8,7505,8
15,1078,4
27,2136,9
8,934,6
27,5597,8
3,3028,4
14,6754,1
20,4368,1
4,3822,9
17,6232,10
29,367,6
25,297,7
13,5653,9
17,3490,4
10,2230,10
1,5765,6
2,1392,1
9,5327,4
25,4539,5
30,2425,6
11,7020,8
22,1341,3
14,3070,2
6,5766,4
24,7655,3
5,5778,2
4,6616,10
8,5762,10
17,7346,9
20,5904,10
27,6351,9
16,5628,6
21,4068,10
27,1007,6
15,2557,4
3,4739,4
17,827,6
17,4917,6
13,3288,1
16,963,9
23,1797,2
19,7850,10
28,585,4
19,2793,9
12,5777,9
22,1328,3
7,1386,9
5,4295,8
3,3407,5
2,1999,3
3,3726,6
9,580,5
14,3676,8
16,3258,1
13,4438,2
11,5000,10
17,6562,2
25,922,8
23,115,7
12,4046,5
26,5321,8
5,4513,8
19,1994,1
15,5933,4
30,7793,8
21,3236,1
8,6310,5
6,6217,9
